N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221227,568735919,126.15625,126.125,-0.03125,-0.00024770869457517957,0.00024770869457517957,3455,3455,0,0,,,0,0,
1,09:40:00,20221227,568735919,126.125,125.9375,-0.1875,-0.0014866204162537165,0.0008671645554144481,3455,2156,-1299,0.1879884225759768451519536903,,,0,0,
2,09:50:00,20221227,568735919,125.9375,125.8125,-0.125,-0.0009925558312655087,0.0009089616473648016,2156,1611,-545,0.2095865921687712053641348659,,,0,0,
3,10:00:00,20221227,568735919,125.8125,125.875,0.0625,0.0004967709885742673,0.000805913982667168,1611,3336,1725,0.4248808193593530781385573878,,,0,1,
4,10:10:00,20221227,568735919,125.875,125.875,0,0,0.0006447311861337345,3336,1856,-1480,0.4286336722740532059161216896,84.64716,,0,0,
5,10:20:00,20221227,568735919,125.875,125.75,-0.125,-0.0009930486593843098,0.0007027840983421636,1856,1159,-697,0.4197845257456190509071129022,92.867728,,0,0,
6,10:30:00,20221227,568735919,125.75,125.625,-0.125,-0.0009940357852882703,0.0007443914821916075,1159,4350,3191,0.7531346717656890028359500951,99.4191824,,0,1,
7,10:40:00,20221227,568735919,125.625,125.5625,-0.0625,-0.0004975124378109452,0.0007135316016440246,4350,2369,-1981,0.7159181251512997165619161033,104.64784592,,0,0,
8,10:50:00,20221227,568735919,125.5625,125.46875,-0.09375,-0.0007466401194624191,0.0007172103258460685,2369,2774,405,0.6553670234917420490728124380,108.81202673599999,,0,0,
9,11:00:00,20221227,568735919,125.46875,125.59375,0.125,0.00099626400996264,0.0007451156942577256,2774,2568,-206,0.5972564206378814706976148279,112.16837138879998,,0,0,
10,11:10:00,20221227,568735919,125.59375,125.59375,0,0,0.0006773779038706596,2568,2417,-151,0.5483058935847067462303436980,114.85344711104,,0,0,
11,11:20:00,20221227,568735919,125.59375,125.5,-0.09375,-0.0007464543418760885,0.0006831342737044453,2417,1653,-764,0.5289549301040062840306905220,116.98275768883201,,0,0,
12,11:30:00,20221227,568735919,125.5,125.5,0,0,0.0006305854834194881,1653,2309,656,0.5187933358249834170986447575,118.68620615106562,,0,0,
13,11:40:00,20221227,568735919,125.5,125.46875,-0.03125,-0.000249003984063745,0.0006033296620369349,2309,1430,-879,0.5089284031881002051305456811,120.04271492085249,,0,0,
14,11:50:00,20221227,568735919,125.46875,125.4375,-0.03125,-0.00024906600249066,0.00057971208473385,1430,2258,828,0.5136012415769587928537773676,121.12167193668199,,0,0,
15,12:00:00,20221227,568735919,125.4375,125.5,0.0625,0.0004982561036372695,0.0005746210859153137,2258,2678,420,0.4931264961307460782206997188,121.99733754934559,,0,0,
16,12:10:00,20221227,568735919,125.5,125.40625,-0.09375,-0.000747011952191235,0.0005847617251080149,2678,2171,-507,0.4752555486142030479198818598,122.67912003947647,,0,0,
17,12:20:00,20221227,568735919,125.40625,125.40625,0,0,0.0005522749626020141,2171,1922,-249,0.4552243342214133755458078663,123.22454603158117,,0,0,
18,12:30:00,20221227,568735919,125.40625,125.34375,-0.0625,-0.00049838026414154,0.0005494383995251471,1922,2143,221,0.4373169688023445188778895050,123.64838682526494,,0,0,
19,12:40:00,20221227,568735919,125.34375,125.34375,0,0,0.0005219664795488898,2143,1838,-305,0.4225673126160770362844383335,123.98745946021194,80.54278495519267,0,0,
20,12:50:00,20221227,568735919,125.34375,125.3125,-0.03125,-0.0002493143854400399,0.0005089830464960874,1838,1676,-162,0.4066421682928387961504729038,124.25246756816955,82.78127070743304,0,0,
21,13:00:00,20221227,568735919,125.3125,125.4375,0.125,0.000997506234413965,0.0005311886459469001,1676,2646,970,0.4144656583650128625871133739,124.48947405453563,84.91408217206138,0,0,
22,13:10:00,20221227,568735919,125.4375,125.4375,0,0,0.0005080934874274696,2646,1551,-1095,0.4144381166772507929429334471,124.67907924362851,86.94025306345831,0,0,
