N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221227,99831145,211,210.24,-0.7599999999999909,-0.003601895734597113,0.003601895734597113,14809,14809,0,0,,,0,0,
1,09:40:00,20221227,99831145,210.24,209.56,-0.6800000000000068,-0.00323439878234402,0.003418147258470567,14809,8194,-6615,0.2233439124856506178675129988,,,0,0,
2,09:50:00,20221227,99831145,209.56,209.67,0.10999999999998522,0.0005249093338422658,0.0024537346169278,8194,17249,9055,0.5172549034990986219840860396,,,0,1,
3,10:00:00,20221227,99831145,209.67,209.8,0.13000000000002387,0.0006200219392379639,0.001995306447505341,17249,20512,3263,0.4352337742965948227695880963,,,0,0,
4,10:10:00,20221227,99831145,209.8,211.48,1.6799999999999784,0.008007626310772061,0.003197770420158685,20512,18588,-1924,0.3669467698272914588396954380,141.3835648,,0,0,
5,10:20:00,20221227,99831145,211.48,211.03,-0.44999999999998863,-0.0021278607906184445,0.003019452148568645,18588,11956,-6632,0.3652538625972712519238334231,155.31285184,,0,0,
6,10:30:00,20221227,99831145,211.03,211.15,0.12000000000000455,0.0005686395299246769,0.002669336060190935,11956,16125,4169,0.3628883416249802911629321135,166.480281472,,0,0,
7,10:40:00,20221227,99831145,211.15,211.45,0.29999999999998295,0.0014207909069381148,0.0025132679160343326,16125,15658,-467,0.3211474539606174446900462195,175.4742251776,,0,0,
8,10:50:00,20221227,99831145,211.45,211.13,-0.3199999999999932,-0.0015133601324189795,0.0024021670511881824,15658,11928,-3730,0.3119329464024267580055204272,182.60538014208,,0,0,
9,11:00:00,20221227,99831145,211.13,210.52,-0.6099999999999852,-0.002889215175484229,0.002450871863617787,11928,11226,-702,0.2866249636334114463900790485,188.188304113664,,0,0,
10,11:10:00,20221227,99831145,210.52,209.82,-0.700000000000017,-0.0033250997529926706,0.002530347126288231,11226,12797,1571,0.2732902387111637673238284015,192.5146432909312,,0,0,
11,11:20:00,20221227,99831145,209.82,209.6,-0.21999999999999886,-0.001048517777142307,0.002406861347192737,12797,9942,-2855,0.2691076491407777215680325636,195.93171463274496,,0,0,
12,11:30:00,20221227,99831145,209.6,210.03,0.4300000000000068,0.0020515267175572846,0.002379527914143856,9942,5241,-4701,0.2847795597008135284183073903,198.75137170619595,,0,0,
13,11:40:00,20221227,99831145,210.03,210,-0.030000000000001137,-0.00014283673760891841,0.0022197642586770745,5241,6103,862,0.2761861932168823852008141497,201.00109736495676,,0,0,
14,11:50:00,20221227,99831145,210,210.23,0.22999999999998977,0.0010952380952380465,0.0021447958477811392,6103,14544,8441,0.3499797992335667131610460711,202.8468778919654,,0,1,
15,12:00:00,20221227,99831145,210.23,210.69,0.46000000000000796,0.0021880797222090472,0.0021475010899328836,14544,5815,-8729,0.3656172347737680235114729909,204.41550231357232,,0,0,
16,12:10:00,20221227,99831145,210.69,210.91,0.21999999999999886,0.0010441881437182536,0.0020826003283908466,5815,13032,7217,0.4171162563689381104396079821,205.71440185085788,,0,1,
17,12:20:00,20221227,99831145,210.91,210.5,-0.4099999999999966,-0.0019439571381157678,0.00207489792893112,13032,5929,-7103,0.4242232960788828556170815036,206.6715214806863,,0,0,
18,12:30:00,20221227,99831145,210.5,210.99,0.4900000000000091,0.002327790973871777,0.0020882080891911547,5929,10171,4242,0.4395518779605199786701065435,207.53521718454905,,0,1,
19,12:40:00,20221227,99831145,210.99,210.46,-0.5300000000000011,-0.002511967391819523,0.0021093960543225733,10171,23241,13070,0.4818255867859233377151677290,208.12017374763923,135.02894588598414,0,1,
20,12:50:00,20221227,99831145,210.46,210.76,0.29999999999998295,0.0014254490164400976,0.002076827147756741,23241,13000,-10241,0.4798645440832864863956846865,208.6481389981114,138.81549859168496,0,0,
21,13:00:00,20221227,99831145,210.76,211.2,0.4399999999999977,0.00208768267223381,0.002077320580687517,13000,3447,-9553,0.4914546172543259118392374805,209.15851119848912,142.4347236621007,0,0,
22,13:10:00,20221227,99831145,211.2,210.88,-0.3199999999999932,-0.0015151515151514828,0.0020528784474033415,3447,7981,4534,0.5272760112115708832938123270,209.50280895879132,145.85698747899568,0,1,
23,13:20:00,20221227,99831145,210.88,210.52,-0.3599999999999852,-0.0017071320182093382,0.0020384723461869246,7981,5356,-2625,0.5190106004157247736815670143,209.70624716703304,149.0901381050459,0,0,
24,13:30:00,20221227,99831145,210.52,210.63,0.10999999999998522,0.0005225156754701939,0.001977834079358255,5356,5906,550,0.5023577193415901815393827505,209.89099773362645,152.1671311997936,0,0,
25,13:40:00,20221227,99831145,210.63,210.09,-0.539999999999992,-0.002563737359350482,0.002000368820896418,5906,5922,16,0.4831404651123094526054980796,209.93079818690117,155.06327463980392,0,0,
26,13:50:00,20221227,99831145,210.09,209.89,-0.20000000000001705,-0.0009519729639679045,0.0019615393447138803,5922,11658,5736,0.5011201401820738178829333828,209.9226385495209,157.80461090781372,0,1,
27,14:00:00,20221227,99831145,209.89,209.82,-0.06999999999999318,-0.00033350802801464187,0.001903395369117479,11658,15676,4018,0.4955321362539232634847297048,209.90211083961674,160.40538036242305,0,0,
28,14:10:00,20221227,99831145,209.82,209.93,0.11000000000001364,0.0005242588885712213,0.001855838938753815,15676,11053,-4623,0.4886141114061073598006736409,209.9076886716934,162.8816113443019,0,0,
29,14:20:00,20221227,99831145,209.93,209.98,0.04999999999998295,0.00023817462963836967,0.0018019167951166335,11053,19383,8330,0.4974483592019645791140520728,209.92215093735473,165.23653077708678,0,1,
30,14:30:00,20221227,99831145,209.98,210.11,0.13000000000002387,0.0006191065815793117,0.0017637616269380102,19383,12381,-7002,0.4930546827571722861720033016,209.9597207498838,167.48020423823246,0,0,
31,14:40:00,20221227,99831145,210.11,210.57,0.45999999999997954,0.0021893293988862,0.001777060619811391,12381,14703,2322,0.4835075186871846284830656833,210.08177659990704,169.63469402632086,0,0,
32,14:50:00,20221227,99831145,210.57,210.49,-0.07999999999998408,-0.0003799211663579051,0.0017347230606158308,14703,10219,-4484,0.4780973446199304181640285156,210.16342127992561,171.6774593250048,0,0,
33,15:00:00,20221227,99831145,210.49,210.98,0.4899999999999807,0.002327901563019529,0.0017521694871571161,10219,12606,2387,0.4709057903505732549121326601,210.3267370239405,173.64258635875458,0,0,
