N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,12:30:00,20220902,99831145,255.42,254.84,-0.5799999999999841,-0.0022707697126301157,0.0022707697126301157,13458,13458,0,0,,,0,0,
1,12:20:00,20220902,99831145,254.84,255.36,0.5200000000000102,0.0020404959974886605,0.002155632855059388,13458,15229,1771,0.0657972952890474067469163323,,,0,1,
2,12:10:00,20220902,99831145,255.36,256.21,0.8499999999999659,0.003328634085212899,0.0025466332651105585,15229,10381,-4848,0.1499781999236939592159165112,,,0,0,
3,12:00:00,20220902,99831145,256.21,256.69,0.4800000000000182,0.0018734631747395426,0.0023783407425178047,10381,10907,526,0.1251510230282150315928448104,,,0,0,
4,11:50:00,20220902,99831145,256.69,257.1,0.410000000000025,0.0015972573921852235,0.0022221240724512883,10907,6952,-3955,0.1726430518506457394028171521,172.3106368,,0,0,
5,11:40:00,20220902,99831145,257.1,257.16,0.060000000000002274,0.00023337222870479295,0.0018906654318268724,6952,21599,14647,0.4950151630784533444006982213,189.28050944,,0,1,
6,11:30:00,20220902,99831145,257.16,257.45,0.2899999999999636,0.0011277025976044626,0.001781670741223671,21599,11197,-10402,0.4930981926675777497256095540,202.914407552,,0,0,
7,11:20:00,20220902,99831145,257.45,256.75,-0.6999999999999886,-0.00271897455816659,0.001898833718341536,11197,12062,865,0.4411175230317504291969227386,213.6815260416,,0,0,
8,11:10:00,20220902,99831145,256.75,256.38,-0.37000000000000455,-0.0014410905550146234,0.0018479733668607678,12062,15945,3883,0.4278733626491994087564827704,222.22122083327997,,0,0,
9,11:00:00,20220902,99831145,256.38,256.56,0.18000000000000682,0.0007020828457758282,0.0017333843147522739,15945,7638,-8307,0.4371838626966030802985202883,229.08897666662398,,0,0,
10,10:50:00,20220902,99831145,256.56,257.1,0.5400000000000205,0.0021047708138447942,0.0017671467237606849,7638,11032,3394,0.4378359807751498878002449430,234.6911813332992,,0,0,
11,10:40:00,20220902,99831145,257.1,257.1,0,0,0.0016198844967806277,11032,8539,-2493,0.4201812298995799279696589038,239.1729450666394,,0,0,
12,10:30:00,20220902,99831145,257.1,257.07,-0.03000000000002956,-0.00011668611435250702,0.0015042538519784647,8539,8704,165,0.3893459895803882283026746832,242.75235605331153,,0,0,
13,10:20:00,20220902,99831145,257.07,257.19,0.12000000000000455,0.0004667989263624871,0.0014301499287201805,8704,8726,22,0.3617161027196041951886180882,245.63988484264922,,0,0,
14,10:10:00,20220902,99831145,257.19,256.76,-0.4300000000000068,-0.0016719157043431191,0.0014462676470950431,8726,6557,-2169,0.3541728625000972335627041037,247.86390787411938,,0,0,
15,10:00:00,20220902,99831145,256.76,255.29,-1.4699999999999989,-0.005725190839694652,0.0017137003466325186,6557,18669,12112,0.4474861969192948700535664378,249.3491262992955,,0,1,
16,09:50:00,20220902,99831145,255.29,255.25,-0.03999999999999204,-0.00015668455481997746,0.0016221111824082513,18669,15086,-3583,0.4324530346456095977429728088,250.5293010394364,,0,0,
17,09:40:00,20220902,99831145,255.25,257.45,2.1999999999999886,0.008619000979431884,0.0020108272822428976,15086,21695,6609,0.4327661045976487716954582339,251.9134408315491,,0,0,
18,09:30:00,20220902,99831145,257.45,259.83,2.3799999999999955,0.00924451349776654,0.002391547609375721,21695,40815,19120,0.4563736284286406565538831283,253.49675266523928,,0,1,
19,15:50:00,20220901,99831145,259.83,257.66,-2.169999999999959,-0.008351614517184155,0.0026895509547661426,40815,158299,117484,0.5774775244909768461934191569,254.32940213219143,164.80234418202724,0,1,
20,15:40:00,20220901,99831145,257.66,256.23,-1.4300000000000068,-0.0055499495459132445,0.002825760411487433,158299,45511,-112788,0.5839071549012411038638577515,254.70952170575316,169.37372697292588,0,0,
21,15:30:00,20220901,99831145,256.23,256.05,-0.18000000000000682,-0.0007024938531788112,0.002729248295200678,45511,18593,-26918,0.5842505299027788101546964996,254.97761736460254,173.7075406242796,0,0,
22,15:20:00,20220901,99831145,256.05,255.76,-0.29000000000002046,-0.0011325912907636027,0.002659828425442544,18593,16732,-1861,0.5632001343530689698052282050,255.13409389168203,177.81016359306562,0,0,
23,15:10:00,20220901,99831145,255.76,256.32,0.5600000000000023,0.0021895527056615665,0.0026402336037850034,16732,18700,1968,0.5446342509958404306716790220,255.37127511334563,181.73565541341233,0,0,
24,15:00:00,20220901,99831145,256.32,256.7,0.37999999999999545,0.0014825218476903694,0.002593925133541218,18700,18312,-388,0.5236788274800709845678065135,255.63702009067651,185.48387264274172,0,0,
25,14:50:00,20220901,99831145,256.7,256.28,-0.4200000000000159,-0.0016361511492014645,0.0025570876726050736,18312,10017,-8295,0.5209597053222277462763841741,255.7656160725412,189.0236790106046,0,0,
26,14:40:00,20220901,99831145,256.28,255.99,-0.2899999999999636,-0.0011315748400185877,0.0025042909010277964,10017,21470,11453,0.5440114308399115529367262582,255.81049285803297,192.37199506007437,0,1,
27,14:30:00,20220901,99831145,255.99,256.34,0.3499999999999659,0.0013672409078478295,0.0024636819726999402,21470,16044,-5426,0.5336083344593591192392887827,255.91639428642637,195.57039530707067,0,0,
28,14:20:00,20220901,99831145,256.34,256.8,0.4600000000000364,0.0017944916907234002,0.002440606445735232,16044,9812,-6232,0.5286022474957806030272444279,256.0931154291411,198.63187554171714,0,0,
29,14:10:00,20220901,99831145,256.8,256.02,-0.7800000000000296,-0.0030373831775702084,0.0024604990034630646,9812,14954,5142,0.5284505786126830378794549106,256.07849234331286,201.50128176463127,0,0,
30,14:00:00,20220901,99831145,256.02,255.75,-0.2699999999999818,-0.0010546051089757903,0.0024151475875118624,14954,13249,-1705,0.5150817314543565093242525724,256.0127938746503,204.2137176763997,0,0,
31,13:50:00,20220901,99831145,255.75,255.81,0.060000000000002274,0.0002346041055718564,0.002347005603701237,13249,13332,83,0.4991811968384450032859736874,255.97223509972025,206.79353179257973,0,0,
