N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221227,533620653,182.75,182.95,0.19999999999998863,0.0010943912448699788,0.0010943912448699788,3,3,0,0,,,0,0,
1,09:40:00,20221227,533620653,182.95,182.95,0,0,0.0005471956224349894,3,0,-3,0.5,,,0,0,
2,09:50:00,20221227,533620653,182.95,182.95,0,0,0.0003647970816233263,0,0,0,0.3333333333333333333333333333,,,0,0,
3,10:00:00,20221227,533620653,182.95,182.95,0,0,0.00027359781121749475,0,0,0,0.2500000000000000000000000000,,,0,0,
4,10:10:00,20221227,533620653,182.95,182.95,0,0,0.0002188782489739958,0,0,0,0.2000000000000000000000000000,123.000944,,0,0,
5,10:20:00,20221227,533620653,182.95,182.95,0,0,0.00018239854081166318,0,0,0,0.1666666666666666666666666667,134.9907552,,0,0,
6,10:30:00,20221227,533620653,182.95,182.5,-0.44999999999998863,-0.0024596884394642725,0.0005077256691906073,0,1,1,0.1428571428571428571428571429,144.49260415999998,,0,0,
7,10:40:00,20221227,533620653,182.5,182.5,0,0,0.00044425996054178144,1,0,-1,0.2500000000000000000000000000,152.09408332799998,,0,0,
8,10:50:00,20221227,533620653,182.5,182.5,0,0,0.00039489774270380575,0,0,0,0.2222222222222222222222222222,158.1752666624,,0,0,
9,11:00:00,20221227,533620653,182.5,183,0.5,0.0027397260273972603,0.0006293805711731512,0,2,2,0.2000000000000000000000000000,163.14021332992,,0,0,
10,11:10:00,20221227,533620653,183,183.1,0.09999999999999432,0.000546448087431663,0.0006218412544693795,2,2,0,0.1818181818181818181818181818,167.132170663936,,0,0,
11,11:20:00,20221227,533620653,183.1,182.85,-0.25,-0.001365374112506827,0.0006838023259725001,2,1,-1,0.2083333333333333333333333333,170.2757365311488,,0,0,
12,11:30:00,20221227,533620653,182.85,182.85,0,0,0.0006312021470515386,1,0,-1,0.2692307692307692307692307692,172.79058922491902,,0,0,
13,11:40:00,20221227,533620653,182.85,182.85,0,0,0.0005861162794050001,0,0,0,0.2500000000000000000000000000,174.8024713799352,,0,0,
14,11:50:00,20221227,533620653,182.85,182.85,0,0,0.0005470418607780002,0,0,0,0.2333333333333333333333333333,176.41197710394817,,0,0,
15,12:00:00,20221227,533620653,182.85,182.85,0,0,0.0005128517444793751,0,0,0,0.2187500000000000000000000000,177.69958168315853,,0,0,
16,12:10:00,20221227,533620653,182.85,182.85,0,0,0.00048268399480411774,0,0,0,0.2058823529411764705882352941,178.72966534652682,,0,0,
17,12:20:00,20221227,533620653,182.85,182.85,0,0,0.0004558682173150001,0,0,0,0.1944444444444444444444444444,179.55373227722146,,0,0,
18,12:30:00,20221227,533620653,182.85,182.85,0,0,0.00043187515324578956,0,0,0,0.1842105263157894736842105263,180.21298582177715,,0,0,
19,12:40:00,20221227,533620653,182.85,182.85,0,0,0.00041028139558350006,0,0,0,0.1750000000000000000000000000,180.7403886574217,117.29774284832826,0,0,
20,12:50:00,20221227,533620653,182.85,182.85,0,0,0.0003907441862700001,0,0,0,0.1666666666666666666666666667,181.16231092593736,120.57535570591185,0,0,
21,13:00:00,20221227,533620653,182.85,182.15,-0.6999999999999886,-0.0038282745419742337,0.000546995566074738,0,35,35,0.1590909090909090909090909091,181.3598487407499,123.65408792061625,0,0,
22,13:10:00,20221227,533620653,182.15,182.15,0,0,0.000523213150158445,35,0,-35,0.1956521739130434782608695652,181.51787899259992,126.57888352458544,0,0,
23,13:20:00,20221227,533620653,182.15,182.25,0.09999999999999432,0.000548998078506694,0.0005242875221729554,0,1,1,0.1875000000000000000000000000,181.66430319407993,129.36243934835616,0,0,
24,13:30:00,20221227,533620653,182.25,182.25,0,0,0.0005033160212860371,1,0,-1,0.2200000000000000000000000000,181.78144255526394,132.00681738093837,0,0,
25,13:40:00,20221227,533620653,182.25,182.25,0,0,0.0004839577127750357,0,0,0,0.2115384615384615384615384615,181.87515404421117,134.51897651189145,0,0,
26,13:50:00,20221227,533620653,182.25,182.25,0,0,0.00046603335304262695,0,0,0,0.2037037037037037037037037037,181.95012323536895,136.9055276862969,0,0,
27,14:00:00,20221227,533620653,182.25,182.8,0.5500000000000114,0.0030178326474623396,0.0005571690421290453,0,1,1,0.1964285714285714285714285714,182.12009858829515,139.20025130198206,0,0,
28,14:10:00,20221227,533620653,182.8,182.8,0,0,0.0005379563165383886,1,0,-1,0.2241379310344827586206896551,182.25607887063612,141.38023873688297,0,0,
29,14:20:00,20221227,533620653,182.8,182.8,0,0,0.0005200244393204423,0,0,0,0.2166666666666666666666666666,182.36486309650888,143.4512268000388,0,0,
30,14:30:00,20221227,533620653,182.8,182.8,0,0,0.0005032494574068797,0,0,0,0.2096774193548387096774193548,182.45189047720712,145.41866546003683,0,0,
31,14:40:00,20221227,533620653,182.8,182.8,0,0,0.0004875229118629147,0,0,0,0.2031250000000000000000000000,182.5215123817657,147.28773218703498,0,0,
32,14:50:00,20221227,533620653,182.8,183.2,0.39999999999997726,0.0021881838074397004,0.0005390580905167567,0,5,5,0.1969696969696969696969696970,182.65720990541257,149.08334557768322,0,0,
33,15:00:00,20221227,533620653,183.2,183.2,0,0,0.0005232034407956755,5,0,-5,0.2205882352941176470588235294,182.76576792433008,150.78917829879904,0,0,
34,15:10:00,20221227,533620653,183.2,183.2,0,0,0.0005082547710586562,0,0,0,0.2142857142857142857142857143,182.85261433946408,152.40971938385908,0,0,
35,15:20:00,20221227,533620653,183.2,183.2,0,0,0.0004941365829736936,0,0,0,0.2083333333333333333333333333,182.92209147157126,153.94923341466614,0,0,
36,15:30:00,20221227,533620653,183.2,183.2,0,0,0.00048078154019062075,0,0,0,0.2027027027027027027027027027,182.97767317725703,155.41177174393283,0,0,
37,15:40:00,20221227,533620653,183.2,183.2,0,0,0.00046812939439613073,0,0,0,0.1973684210526315789473684211,183.02213854180565,156.8011831567362,0,0,
38,15:50:00,20221227,533620653,183.2,183.2,0,0,0.00045612607659110174,0,0,0,0.1923076923076923076923076924,183.0577108334445,158.12112399889938,0,0,
39,09:30:00,20221228,533620653,183.2,182.6,-0.5999999999999943,-0.003275109170305646,0.0005266006539339654,0,0,0,0.1875000000000000000000000001,182.9661686667556,159.3450677989544,0,0,
40,09:40:00,20221228,533620653,182.6,182.6,0,0,0.0005137567355453321,0,0,0,0.1829268292682926829268292684,182.8929349334045,160.50781440900667,0,0,
41,09:50:00,20221228,533620653,182.6,182.6,0,0,0.0005015244323180623,0,0,0,0.1785714285714285714285714287,182.8343479467236,161.61242368855633,0,0,
42,10:00:00,20221228,533620653,182.6,182.6,0,0,0.0004898610734269445,0,0,0,0.1744186046511627906976744187,182.78747835737886,162.6618025041285,0,0,
43,10:10:00,20221228,533620653,182.6,182.6,0,0,0.0004787278672126958,0,0,0,0.1704545454545454545454545455,182.7499826859031,163.65871237892208,0,0,
44,10:20:00,20221228,533620653,182.6,182.6,0,0,0.00046808947016352474,0,0,0,0.1666666666666666666666666667,182.71998614872246,164.60577675997598,0,0,
45,10:30:00,20221228,533620653,182.6,182.6,0,0,0.0004579136121164916,0,0,0,0.1630434782608695652173913044,182.69598891897795,165.5054879219772,0,0,
46,10:40:00,20221228,533620653,182.6,182.6,0,0,0.00044817076930550245,0,0,0,0.1595744680851063829787234043,182.67679113518233,166.36021352587832,0,0,
47,10:50:00,20221228,533620653,182.6,182.6,0,0,0.0004388338782783045,0,0,0,0.1562500000000000000000000000,182.66143290814585,167.1722028495844,0,0,
48,11:00:00,20221228,533620653,182.6,182.6,0,0,0.00042987808484405335,0,0,0,0.1530612244897959183673469388,182.6491463265167,167.94359270710518,0,0,
49,11:10:00,20221228,533620653,182.6,182.6,0,0,0.0004212805231471723,0,0,0,0.1500000000000000000000000000,182.63931706121338,168.67641307174992,0,0,
50,11:20:00,20221228,533620653,182.6,182.6,0,0,0.00041302012073252185,0,0,0,0.1470588235294117647058823529,182.6314536489707,169.3725924181624,0,0,
51,11:30:00,20221228,533620653,182.6,182.6,0,0,0.0004050774261030503,0,0,0,0.1442307692307692307692307692,182.62516291917655,170.03396279725428,0,0,
52,11:40:00,20221228,533620653,182.6,182.6,0,0,0.00039743445579921917,0,0,0,0.1415094339622641509433962264,182.62013033534123,170.66226465739155,0,0,
53,11:50:00,20221228,533620653,182.6,182.6,0,0,0.000390074558469604,0,0,0,0.1388888888888888888888888889,182.61610426827298,171.25915142452197,0,0,
54,12:00:00,20221228,533620653,182.6,182.6,0,0,0.00038298229377015667,0,0,0,0.1363636363636363636363636364,182.61288341461835,171.82619385329588,0,0,
55,12:10:00,20221228,533620653,182.6,182.6,0,0,0.0003761433242385467,0,0,0,0.1339285714285714285714285715,182.61030673169466,172.36488416063108,0,0,
56,12:20:00,20221228,533620653,182.6,182.6,0,0,0.0003695443185501512,0,0,0,0.1315789473684210526315789474,182.6082453853557,172.87663995259953,0,0,
57,12:30:00,20221228,533620653,182.6,182.6,0,0,0.0003631728647820451,0,0,0,0.1293103448275862068965517242,182.60659630828457,173.36280795496955,0,0,
58,12:40:00,20221228,533620653,182.6,181.65,-0.9499999999999886,-0.005202628696604538,0.0004451975398976806,0,1,1,0.1271186440677966101694915255,182.41527704662764,173.77716755722108,0,0,
59,12:50:00,20221228,533620653,181.65,181.5,-0.15000000000000568,-0.0008257638315442097,0.0004515403114251227,1,1,0,0.1250000000000000000000000001,182.23222163730213,174.16330917936,0,0,
60,13:00:00,20221228,533620653,181.5,181.5,0,0,0.0004441380112378256,1,0,-1,0.1393442622950819672131147542,182.08577730984172,174.53014372039198,0,0,
61,13:10:00,20221228,533620653,181.5,181.5,0,0,0.0004369744949275381,0,0,0,0.1370967741935483870967741936,181.96862184787335,174.87863653437236,0,0,
62,13:20:00,20221228,533620653,181.5,181.5,0,0,0.00043003839183345017,0,0,0,0.1349206349206349206349206350,181.8748974782987,175.20970470765374,0,0,
63,13:30:00,20221228,533620653,181.5,181.5,0,0,0.0004233190419610525,0,0,0,0.1328125000000000000000000001,181.79991798263893,175.52421947227106,0,0,
64,13:40:00,20221228,533620653,181.5,181.5,0,0,0.00041680644131549785,0,0,0,0.1307692307692307692307692309,181.73993438611114,175.8230084986575,0,0,
65,13:50:00,20221228,533620653,181.5,181.5,0,0,0.000410491192204657,0,0,0,0.1287878787878787878787878789,181.69194750888892,176.1068580737246,0,0,
66,14:00:00,20221228,533620653,181.5,181.5,0,0,0.0004043644579926472,0,0,0,0.1268656716417910447761194031,181.65355800711114,176.37651517003835,0,0,
67,14:10:00,20221228,533620653,181.5,180.7,-0.8000000000000114,-0.0044077134986226525,0.000463237238001912,0,4,4,0.1250000000000000000000000001,181.46284640568894,176.5926894115364,0,0,
68,14:20:00,20221228,533620653,180.7,180.7,0,0,0.00045652365484246397,4,0,-4,0.1376811594202898550724637682,181.31027712455113,176.7980549409596,0,0,
