N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221128,296574745,74.76,74.88,0.11999999999999034,0.0016051364365969813,0.0016051364365969813,682,682,0,0,,,0,0,
1,09:40:00,20221128,296574745,74.88,75.1,0.21999999999999886,0.002938034188034173,0.002271585312315577,682,475,-207,0.1517595307917888563049853372,,,0,0,
2,09:50:00,20221128,296574745,75.1,75.26,0.1600000000000108,0.0021304926764315686,0.0022245544336875742,475,713,238,0.2681905643875083603436744353,,,0,1,
3,10:00:00,20221128,296574745,75.26,75.39,0.12999999999999545,0.0017273452032951827,0.0021002521260894765,713,350,-363,0.3284220256749229953629451673,,,0,0,
4,10:10:00,20221128,296574745,75.39,75.97,0.5799999999999983,0.007693328027589844,0.00321886730638955,350,591,241,0.4004519062542241105760704196,50.714089599999994,,0,1,
5,10:20:00,20221128,296574745,75.97,75.8,-0.1700000000000017,-0.002237725417928152,0.0030553436583126503,591,717,126,0.3692429168023779601670299182,55.73127167999999,,0,0,
6,10:30:00,20221128,296574745,75.8,75.89,0.09000000000000341,0.00118733509234833,0.0027884852917463188,717,395,-322,0.3806501351033731788480898004,59.76301734399999,,0,0,
7,10:40:00,20221128,296574745,75.89,75.62,-0.269999999999996,-0.0035577809988140206,0.0028846472551297816,395,295,-100,0.3647144378357046960490406007,62.93441387519999,,0,0,
8,10:50:00,20221128,296574745,75.62,75.7,0.0799999999999983,0.0010579211848717044,0.002681677691767773,295,578,283,0.4307819485093269614597875019,65.48753110016,,0,1,
9,11:00:00,20221128,296574745,75.7,76,0.29999999999999716,0.00396301188903563,0.002809811111494559,578,584,6,0.3887418159421312895352620389,67.590024880128,,0,0,
10,11:10:00,20221128,296574745,76,76.11,0.10999999999999943,0.001447368421052624,0.002685952685090747,584,485,-99,0.3688126097605925795276977440,69.2940199041024,,0,0,
11,11:20:00,20221128,296574745,76.11,76.06,-0.04999999999999716,-0.0006569438969911596,0.002516868619415781,485,504,19,0.3413428304248730948076060935,70.64721592328192,,0,0,
12,11:30:00,20221128,296574745,76.06,75.96,-0.10000000000000853,-0.0013147515119643508,0.0024243980726887477,504,269,-235,0.3509526004898706467332725356,71.70977273862553,,0,0,
13,11:40:00,20221128,296574745,75.96,76.96,1,0.013164823591363877,0.0031915713240226852,269,2262,1993,0.8550932671038443047334716030,72.75981819090042,,0,1,
14,11:50:00,20221128,296574745,76.96,77.06,0.10000000000000853,0.0012993762993764103,0.003065424989046267,2262,501,-1761,0.8499880218875491141261296411,73.61985455272034,,0,0,
15,12:00:00,20221128,296574745,77.06,76.96,-0.10000000000000853,-0.0012976901116014603,0.0029549415592059667,501,597,96,0.8088398184237689112597136044,74.28788364217627,,0,0,
16,12:10:00,20221128,296574745,76.96,77.4,0.44000000000001194,0.005717255717255873,0.0031174306273265492,597,610,13,0.7625419199511124879646058084,74.91030691374101,,0,0,
17,12:20:00,20221128,296574745,77.4,77.45,0.04999999999999716,0.0006459948320413069,0.0029801286386995913,610,420,-190,0.7374826693891654371760439192,75.4182455309928,,0,0,
18,12:30:00,20221128,296574745,77.45,77.71,0.2599999999999909,0.0033570045190444275,0.0029999642113493195,420,836,416,0.7507981178674299129136456177,75.87659642479424,,0,0,
19,12:40:00,20221128,296574745,77.71,77.44,-0.269999999999996,-0.0034744563119289158,0.0030236888163782992,836,760,-76,0.7178036665195129627225087914,76.1892771398354,49.0580987828297,0,0,
20,12:50:00,20221128,296574745,77.44,77.31,-0.12999999999999545,-0.001678719008264404,0.0029596426350395424,760,333,-427,0.7103769255073055785327151397,76.41342171186832,50.47069384368822,0,0,
21,13:00:00,20221128,296574745,77.31,77.31,0,0,0.002825113424355927,333,173,-160,0.6999270870969953468030681097,76.59273736949466,51.8126591515038,0,0,
22,13:10:00,20221128,296574745,77.31,77.26,-0.04999999999999716,-0.0006467468632776764,0.002730401834743829,173,203,30,0.6770350574242684820136911851,76.72618989559572,53.08502619392861,0,0,
23,13:20:00,20221128,296574745,77.26,77.25,-0.010000000000005116,-0.00012943308309610555,0.0026220281367585075,203,266,63,0.6617562978476825826194425581,76.83095191647658,54.293274884232176,0,0,
24,13:30:00,20221128,296574745,77.25,77.32,0.06999999999999318,0.0009061488673138276,0.00255339296598072,266,270,4,0.6358875496931737755552663595,76.92876153318126,55.44461114002057,0,0,
25,13:40:00,20221128,296574745,77.32,77.27,-0.04999999999999716,-0.0006466632177961351,0.0024800572064351593,270,316,46,0.6179830427961428753558472830,76.997009226545,56.53588058301954,0,0,
26,13:50:00,20221128,296574745,77.27,77.17,-0.09999999999999432,-0.001294163323411341,0.0024361352107676103,316,299,-17,0.5970872807797831532962542519,77.031607381236,57.567586553868566,0,0,
27,14:00:00,20221128,296574745,77.17,77.27,0.09999999999999432,0.0012958403524685022,0.002395410394399785,299,592,293,0.6107603461222156469852676273,77.0792859049888,58.55270722617514,0,1,
28,14:10:00,20221128,296574745,77.27,77.45,0.18000000000000682,0.0023294939821406346,0.002393137414666711,592,414,-178,0.6000677712792315100435575600,77.15342872399103,59.49757186486638,0,0,
29,14:20:00,20221128,296574745,77.45,77.32,-0.13000000000000966,-0.0016785022595223972,0.0023693162428285674,414,1683,1269,0.6822394252800687205783375254,77.18674297919281,60.38869327162306,0,1,
30,14:30:00,20221128,296574745,77.32,77.51,0.19000000000001194,0.0024573202276256074,0.002372155081047827,1683,508,-1175,0.6827529293387512641021268023,77.25139438335425,61.24475860804191,0,0,
31,14:40:00,20221128,296574745,77.51,77.23,-0.28000000000000114,-0.003612437104889706,0.0024109138942928856,508,372,-136,0.6697830420291987516658644736,77.2471155066834,62.044020677639814,0,0,
32,14:50:00,20221128,296574745,77.23,77.04,-0.18999999999999773,-0.0024601838663731415,0.0024124069237498632,372,803,431,0.6845957422870301352093882937,77.20569240534672,62.79381964375783,0,1,
33,15:00:00,20221128,296574745,77.04,77.19,0.14999999999999147,0.0019470404984422568,0.0023987196759466985,803,180,-623,0.6872794145067764835145256902,77.20255392427738,63.51362866156993,0,0,
34,15:10:00,20221128,296574745,77.19,77.09,-0.09999999999999432,-0.001295504599041253,0.0023671992451779716,180,93,-87,0.6814523836161066792236344800,77.18004313942191,64.19244722849143,0,0,
35,15:20:00,20221128,296574745,77.09,77.1,0.009999999999990905,0.00012971851083137768,0.002305047002557233,93,87,-6,0.6643152654332219954817593287,77.16403451153752,64.83782486706686,0,0,
36,15:30:00,20221128,296574745,77.1,77.09,-0.009999999999990905,-0.00012970168612180162,0.0022462538858968157,87,95,8,0.6488460426644458806613452058,77.14922760923002,65.45043362371351,0,0,
