N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221129,578106878,540,540,0,0,0,1,1,0,0,,,0,0,
1,09:40:00,20221129,578106878,540,540,0,0,0,1,0,-1,0.5,,,0,0,
2,09:50:00,20221129,578106878,540,540,0,0,0,0,0,0,0.3333333333333333333333333333,,,0,0,
3,10:00:00,20221129,578106878,540,540,0,0,0,0,0,0,0.2500000000000000000000000000,,,0,0,
4,10:10:00,20221129,578106878,540,540,0,0,0,0,0,0,0.2000000000000000000000000000,363.0528,,0,0,
5,10:20:00,20221129,578106878,540,540,0,0,0,0,0,0,0.1666666666666666666666666667,398.44223999999997,,0,0,
6,10:30:00,20221129,578106878,540,540,0,0,0,0,0,0,0.1428571428571428571428571429,426.753792,,0,0,
7,10:40:00,20221129,578106878,540,540,0,0,0,0,0,0,0.1250000000000000000000000000,449.40303359999996,,0,0,
8,10:50:00,20221129,578106878,540,540,0,0,0,0,0,0,0.1111111111111111111111111111,467.52242687999995,,0,0,
9,11:00:00,20221129,578106878,540,540,0,0,0,0,0,0,0.1000000000000000000000000000,482.01794150399996,,0,0,
10,11:10:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0909090909090909090909090909,493.6143532032,,0,0,
11,11:20:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0833333333333333333333333333,502.89148256256,,0,0,
12,11:30:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0769230769230769230769230769,510.313186050048,,0,0,
13,11:40:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0714285714285714285714285714,516.2505488400384,,0,0,
14,11:50:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0666666666666666666666666666,521.0004390720308,,0,0,
15,12:00:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0624999999999999999999999999,524.8003512576246,,0,0,
16,12:10:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0588235294117647058823529411,527.8402810060996,,0,0,
17,12:20:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0555555555555555555555555555,530.2722248048797,,0,0,
18,12:30:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0526315789473684210526315789,532.2177798439037,,0,0,
19,12:40:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0500000000000000000000000000,533.774223875123,346.4176018993872,0,0,
20,12:50:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0476190476190476190476190476,535.0193791000984,356.0967218044178,0,0,
21,13:00:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0454545454545454545454545454,536.0155032800787,365.29188571419695,0,0,
22,13:10:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0434782608695652173913043478,536.812402624063,374.0272914284871,0,0,
23,13:20:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0416666666666666666666666666,537.4499220992504,382.32592685706277,0,0,
24,13:30:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0399999999999999999999999999,537.9599376794004,390.2096305142096,0,0,
25,13:40:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0384615384615384615384615384,538.3679501435203,397.69914898849913,0,0,
26,13:50:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0370370370370370370370370370,538.6943601148162,404.81419153907416,0,0,
27,14:00:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0357142857142857142857142857,538.9554880918529,411.57348196212047,0,0,
28,14:10:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0344827586206896551724137931,539.1643904734823,417.99480786401443,0,0,
29,14:20:00,20221129,578106878,540,540,0,0,0,0,0,0,0.0333333333333333333333333333,539.3315123787859,424.0950674708137,0,0,
