N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221128,187296614,6.63,6.61,-0.019999999999999574,-0.0030165912518853055,0.0030165912518853055,49300,49300,0,0,,,0,0,
1,09:40:00,20221128,187296614,6.61,6.58,-0.03000000000000025,-0.004538577912254198,0.0037775845820697514,49300,85565,36265,0.367799188640973630831643002,,,0,1,
2,09:50:00,20221128,187296614,6.58,6.58,0,0,0.0025183897213798346,85565,25590,-59975,0.4788424984987234556349717249,,,0,0,
3,10:00:00,20221128,187296614,6.58,6.58,0,0,0.001888792291034876,25590,26267,677,0.3657457855582942525312307476,,,0,0,
4,10:10:00,20221128,187296614,6.58,6.6,0.019999999999999574,0.0030395136778114855,0.002118936568390198,26267,9547,-16720,0.4199046575325607075414120546,4.4303232,,0,0,
5,10:20:00,20221128,187296614,6.6,6.57,-0.02999999999999936,-0.004545454545454449,0.0025233562312342397,9547,23525,13978,0.5939413572730837850369977380,4.85825856,,0,1,
6,10:30:00,20221128,187296614,6.57,6.57,0,0,0.0021628767696293483,23525,28384,4859,0.5385991958651633596962030103,5.2006068480000005,,0,0,
7,10:40:00,20221128,187296614,6.57,6.55,-0.020000000000000462,-0.0030441400304414704,0.0022730346772308636,28384,35475,7091,0.5025022769344418405233546351,5.4704854784000005,,0,0,
8,10:50:00,20221128,187296614,6.55,6.54,-0.009999999999999787,-0.0015267175572518759,0.002190110552788754,35475,12943,-22532,0.5172410811807833195224431773,5.68438838272,,0,0,
9,11:00:00,20221128,187296614,6.54,6.54,0,0,0.0019710994975098784,12943,37111,24168,0.6522433888859298967875364165,5.855510706176,,0,1,
10,11:10:00,20221128,187296614,6.54,6.55,0.009999999999999787,0.0015290519877675516,0.001930913360260576,37111,18449,-18662,0.6386639689027694410547782685,5.9944085649408,,0,0,
11,11:20:00,20221128,187296614,6.55,6.57,0.020000000000000462,0.0030534351145038875,0.002024456839780852,18449,14586,-3863,0.6028909750535671653306215650,6.10952685195264,,0,0,
12,11:30:00,20221128,187296614,6.57,6.56,-0.010000000000000675,-0.0015220700152208029,0.001985811699430079,14586,13510,-1076,0.5621893129638323792158410792,6.199621481562112,,0,0,
13,11:40:00,20221128,187296614,6.56,6.58,0.020000000000000462,0.003048780487804949,0.0020617380414568553,13510,11043,-2467,0.5350761818538536574055100388,6.2756971852496894,,0,0,
14,11:50:00,20221128,187296614,6.58,6.58,0,0,0.001924288838693065,11043,21247,10204,0.5610060543147664169893849076,6.336557748199751,,0,1,
15,12:00:00,20221128,187296614,6.58,6.56,-0.020000000000000462,-0.0030395136778116204,0.0019939903911379746,21247,58200,36953,0.6346438160104592146144217918,6.381246198559801,,0,1,
16,12:10:00,20221128,187296614,6.56,6.58,0.020000000000000462,0.003048780487804949,0.0020560368674125023,58200,18769,-39431,0.6371652733666258547088635259,6.42099695884784,,0,0,
