N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221227,570640394,108.25,108.21875,-0.03125,-0.0002886836027713626,0.0002886836027713626,5273,5273,0,0,,,0,0,
1,09:40:00,20221227,570640394,108.21875,108.1796875,-0.0390625,-0.00036095870632399656,0.00032482115454767954,5273,3679,-1594,0.1511473544471837663569125735,,,0,0,
2,09:50:00,20221227,570640394,108.1796875,108.125,-0.0546875,-0.0005055246623817433,0.00038505565715903415,3679,4079,400,0.1370066353195957373248312690,,,0,0,
3,10:00:00,20221227,570640394,108.125,108.15625,0.03125,0.00028901734104046245,0.0003610460781293912,4079,3611,-468,0.1314384773477502474653076881,,,0,0,
4,10:10:00,20221227,570640394,108.15625,108.1484375,-0.0078125,-7.22334585379948E-05,0.0003032835542111119,3611,4266,655,0.1414288212024870991076657019,72.7175675,,0,0,
5,10:20:00,20221227,570640394,108.1484375,108.1171875,-0.03125,-0.0002889547063497797,0.0003008954129008899,4266,4859,593,0.1410250334524554549135220121,79.7974915,,0,0,
6,10:30:00,20221227,570640394,108.1171875,108.0625,-0.0546875,-0.0005058168942842691,0.0003301699102413726,4859,14494,9635,0.4041526423800572231955082098,85.45049320000001,,0,1,
7,10:40:00,20221227,570640394,108.0625,108.046875,-0.015625,-0.00014459224985540774,0.000306972702693127,14494,6281,-8213,0.4244645956136663942922060158,89.96976956,,0,0,
8,10:50:00,20221227,570640394,108.046875,108.015625,-0.03125,-0.00028922631959508316,0.00030500088234889993,6281,6793,512,0.3863591607917265293989769478,93.57894064800001,,0,0,
9,11:00:00,20221227,570640394,108.015625,108.03125,0.015625,0.00014465499783017504,0.00028896629389702747,6793,7922,1129,0.3643432947640775037224385935,96.46940251840002,,0,0,
10,11:10:00,20221227,570640394,108.03125,108.0078125,-0.0234375,-0.00021695111368238358,0.00028241945933205986,7922,7527,-395,0.3357540085287257561783248649,98.77708451472002,,0,0,
11,11:20:00,20221227,570640394,108.0078125,108.015625,0.0078125,7.233273056057866E-05,0.0002649122319344364,7527,7921,394,0.3121365821282594485883792108,100.624792611776,,0,0,
12,11:30:00,20221227,570640394,108.015625,107.984375,-0.03125,-0.0002893099956603501,0.00026678898299027594,7921,9963,2042,0.3079565168000865965565985331,102.0967090894208,,0,0,
13,11:40:00,20221227,570640394,107.984375,108,0.015625,0.0001446968600781363,0.0002580681170679802,9963,6905,-3058,0.3078835985964527028535157612,103.27736727153663,,0,0,
14,11:50:00,20221227,570640394,108,107.96875,-0.03125,-0.00028935185185185184,0.000260153699386905,6905,6349,-556,0.2927261161121803792889149760,104.2156438172293,,0,0,
15,12:00:00,20221227,570640394,107.96875,108.0546875,0.0859375,0.0007959479015918958,0.0002936408370247169,6349,11026,4677,0.3204714489284089858794674136,104.98345255378345,,0,1,
16,12:10:00,20221227,570640394,108.0546875,108.0390625,-0.015625,-0.0001446027040705661,0.0002848738880274139,11026,8450,-2576,0.3153631050359801946890884820,105.59457454302677,,0,0,
17,12:20:00,20221227,570640394,108.0390625,108.0546875,0.015625,0.00014462361703666208,0.0002770822063057055,8450,4151,-4299,0.3261072323367426362070188063,106.08659713442142,,0,0,
