N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221128,568735919,127.90625,127.8125,-0.09375,-0.0007329587099926704,0.0007329587099926704,2414,2414,0,0,,,0,0,
1,09:40:00,20221128,568735919,127.8125,127.71875,-0.09375,-0.0007334963325183374,0.000733227521255504,2414,3995,1581,0.3274647887323943661971830986,,,0,1,
2,09:50:00,20221128,568735919,127.71875,127.78125,0.0625,0.0004893564962074871,0.0006519371795728317,3995,1635,-2360,0.4152226668311915716241546064,,,0,0,
3,10:00:00,20221128,568735919,127.78125,127.625,-0.15625,-0.001222792858889704,0.0007946510994020497,1635,2295,660,0.4123344313160542291768315511,,,0,0,
4,10:10:00,20221128,568735919,127.625,127.6875,0.0625,0.0004897159647404506,0.0007336640724697298,2295,2270,-25,0.3320461942903161502259968313,85.8623,,0,0,
5,10:20:00,20221128,568735919,127.6875,127.46875,-0.21875,-0.0017131669114047968,0.0008969145456255743,2270,2182,-88,0.2831662485458948828975817941,94.18359000000001,,0,0,
6,10:30:00,20221128,568735919,127.46875,127.53125,0.0625,0.0004903162539838195,0.000838829075391038,2182,1365,-817,0.2962035174782542756903981176,100.85312200000001,,0,0,
7,10:40:00,20221128,568735919,127.53125,127.65625,0.125,0.00098015192354815,0.0008564944314106769,1365,1282,-83,0.2667788103942050919616990855,106.2137476,,0,0,
8,10:50:00,20221128,568735919,127.65625,127.625,-0.03125,-0.0002447980416156671,0.000788528165877898,1282,1924,642,0.2927789460394320872906210627,110.49599807999999,,0,1,
9,11:00:00,20221128,568735919,127.625,127.5625,-0.0625,-0.0004897159647404506,0.0007586469457641533,1924,2468,544,0.2917754797099171529898333847,113.909298464,,0,0,
10,11:10:00,20221128,568735919,127.5625,127.53125,-0.03125,-0.0002449779519843214,0.0007119497645114413,2468,2032,-436,0.2813105510255177300644278744,116.63368877120001,,0,0,
11,11:20:00,20221128,568735919,127.53125,127.59375,0.0625,0.000490075961774075,0.0006934602809499941,2032,941,-1091,0.3026104591749660557086651841,118.82570101696001,,0,0,
12,11:30:00,20221128,568735919,127.59375,127.40625,-0.1875,-0.0014695077149155032,0.0007531562374088794,941,3419,2478,0.4818995589801125399380566712,120.541810813568,,0,1,
13,11:40:00,20221128,568735919,127.40625,127.5,0.09375,0.0007358351729212656,0.000751919018516907,3419,859,-2560,0.5009608009440743338199725246,121.9334486508544,,0,0,
14,11:50:00,20221128,568735919,127.5,127.40625,-0.09375,-0.0007352941176470588,0.0007508106917922504,859,1168,309,0.4915447879048069800946053225,123.02800892068352,,0,0,
15,12:00:00,20221128,568735919,127.40625,127.25,-0.15625,-0.0012263919548687761,0.0007805345207345332,1168,1806,638,0.4949627934552770917838979693,123.87240713654681,,0,0,
16,12:10:00,20221128,568735919,127.25,127.1875,-0.0625,-0.0004911591355599214,0.0007635124392536737,1806,1936,130,0.4700815868570023726202695499,124.53542570923744,,0,0,
17,12:20:00,20221128,568735919,127.1875,127.28125,0.09375,0.0007371007371007371,0.0007620451224673994,1936,1954,18,0.4444824720683442977409983766,125.08459056738995,,0,0,
18,12:30:00,20221128,568735919,127.28125,127.375,0.09375,0.0007365578197888534,0.000760703685484318,1954,2050,96,0.4236744466839359381604911626,125.54267245391196,,0,0,
19,12:40:00,20221128,568735919,127.375,127.3125,-0.0625,-0.0004906771344455348,0.0007472023579323788,2050,1888,-162,0.4064419438619342632036861167,125.89663796312956,81.77437984778582,0,0,
20,12:50:00,20221128,568735919,127.3125,127.3125,0,0,0.0007116212932689322,1888,1298,-590,0.4019685179637469173368439207,126.17981037050365,84.05128585539653,0,0,
21,13:00:00,20221128,568735919,127.3125,127.40625,0.09375,0.0007363770250368188,0.0007127465538038361,1298,1720,422,0.3984752018019265118632753744,126.42509829640292,86.2190340626267,0,0,
22,13:10:00,20221128,568735919,127.40625,127.40625,0,0,0.0006817575732036693,1720,1110,-610,0.3965698088014383015395940386,126.62132863712235,88.27839485949536,0,0,
23,13:20:00,20221128,568735919,127.40625,127.40625,0,0,0.0006533510076535164,1110,1105,-5,0.3802337544557327266631319747,126.77831290969787,90.23478761652059,0,0,
24,13:30:00,20221128,568735919,127.40625,127.34375,-0.0625,-0.0004905567819475104,0.0006468392386252762,1105,1260,155,0.3706352640060102049269234378,126.8914003277583,92.09023573569456,0,0,
25,13:40:00,20221128,568735919,127.34375,127.28125,-0.0625,-0.00049079754601227,0.0006408376350632375,1260,1122,-138,0.3605925157566947941147157598,126.96937026220664,93.84978644890984,0,0,
26,13:50:00,20221128,568735919,127.28125,127.40625,0.125,0.0009820770930518046,0.0006534761335072585,1122,3323,2201,0.4198918884813593627092654699,127.05674620976531,95.52760962646434,0,1,
27,14:00:00,20221128,568735919,127.40625,127.40625,0,0,0.0006301377001677135,3323,1539,-1784,0.4240694738665152334555479905,127.12664696781225,97.12154164514112,0,0,
28,14:10:00,20221128,568735919,127.40625,127.40625,0,0,0.0006084088139550338,1539,697,-842,0.4283121993201110089414638706,127.1825675742498,98.63577706288406,0,0,
29,14:20:00,20221128,568735919,127.40625,127.46875,0.0625,0.0004905567819475104,0.0006044804128881163,697,1092,395,0.4329256090319179255731137837,127.23980405939983,100.07742570973986,0,0,
30,14:30:00,20221128,568735919,127.46875,127.5625,0.09375,0.0007354743809757293,0.0006087060247619103,1092,3063,1971,0.4771843008355675068467212441,127.30434324751987,101.45167942425286,0,1,
31,14:40:00,20221128,568735919,127.5625,127.59375,0.03125,0.0002449779519843214,0.0005973395224876106,3063,2475,-588,0.4682713120025265413566838301,127.36222459801589,102.75878295304022,0,0,
32,14:50:00,20221128,568735919,127.59375,127.5,-0.09375,-0.0007347538574577516,0.0006015035932442815,2475,4345,1870,0.4769768951404971175445284278,127.38977967841271,103.99584380538822,0,1,
33,15:00:00,20221128,568735919,127.5,127.5,0,0,0.0005838123110900379,4345,2546,-1799,0.4751257842667039815820903582,127.41182374273016,105.17105161511881,0,0,
34,15:10:00,20221128,568735919,127.5,127.59375,0.09375,0.0007352941176470588,0.0005881403627059527,2546,2474,-72,0.4623587519836490120263951270,127.44820899418413,106.29218653436287,0,0,
35,15:20:00,20221128,568735919,127.59375,127.6875,0.09375,0.0007347538574577516,0.0005922129597823916,2474,1634,-840,0.4589468734198348148675733635,127.49606719534731,107.36195220764473,0,0,
36,15:30:00,20221128,568735919,127.6875,127.625,-0.0625,-0.0004894762604013706,0.0005894362922315532,1634,485,-1149,0.4655478329095961353298179816,127.52185375627784,108.37510459726249,0,0,
37,15:40:00,20221128,568735919,127.625,127.65625,0.03125,0.0002448579823702253,0.0005803684419720446,485,1273,788,0.4960529496235866873843507151,127.54873300502227,109.33916186739937,0,1,
38,15:50:00,20221128,568735919,127.65625,127.625,-0.03125,-0.0002447980416156671,0.0005717640727321375,1273,762,-511,0.4936263094465200800759478215,127.56398640401781,110.2534537740294,0,0,
39,09:30:00,20221129,568735919,127.625,126.9375,-0.6875,-0.0053868756121449556,0.0006921418612174579,762,3479,2717,0.5704260716578636397538391522,127.43868912321425,111.08765608532792,0,1,
40,09:40:00,20221129,568735919,126.9375,126.96875,0.03125,0.0002461841457410143,0.0006812648437668129,3479,3254,-225,0.5580906493449078029721482653,127.3447012985714,111.88171078106153,0,0,
41,09:50:00,20221129,568735919,126.96875,127.09375,0.125,0.0009844942160964804,0.0006884845907270431,3254,2487,-767,0.5504149171108198673114861465,127.29451103885712,112.64231274200844,0,0,
42,10:00:00,20221129,568735919,127.09375,127.125,0.03125,0.00024588148512417015,0.0006781914952479065,2487,2920,433,0.5416635317782102132966212580,127.26060883108569,113.36644710490802,0,0,
43,10:10:00,20221129,568735919,127.125,127.1875,0.0625,0.0004916420845624386,0.0006739517359141458,2920,4246,1326,0.5396736694432757968674016590,127.24598706486856,114.05749974966261,0,0,
44,10:20:00,20221129,568735919,127.1875,127.1875,0,0,0.0006589750306716093,4246,2380,-1866,0.5374469755590650414714787645,127.23428965189484,114.71399976217948,0,0,
45,10:30:00,20221129,568735919,127.1875,127.21875,0.03125,0.0002457002457002457,0.00064999079621571,2380,2277,-103,0.5267041567626586220459935667,127.23118172151587,115.33923727407051,0,0,
46,10:40:00,20221129,568735919,127.21875,127,-0.21875,-0.0017194792434291329,0.0006727458695606765,2277,2338,61,0.5160676775865443462407746116,127.1849453772127,115.92227541036698,0,0,
47,10:50:00,20221129,568735919,127,127.125,0.125,0.000984251968503937,0.0006792355799553277,2338,2482,144,0.5065994156265594884428799452,127.17295630177016,116.48241163984864,0,0,
48,11:00:00,20221129,568735919,127.125,127.0625,-0.0625,-0.0004916420845624386,0.0006754071412738402,2482,2010,-472,0.5001416564989211400872481471,127.15086504141613,117.01141605785621,0,0,
49,11:10:00,20221129,568735919,127.0625,127.09375,0.03125,0.00024594195769798326,0.0006668178376023231,2010,1185,-825,0.4983477785928233143004285573,127.13944203313291,117.5155327549634,0,0,
50,11:20:00,20221129,568735919,127.09375,127.0625,-0.03125,-0.00024588148512417015,0.0006585641836321632,1185,2631,1446,0.5125027861607476027517232071,127.12405362650634,117.99288111721523,0,1,
51,11:30:00,20221129,568735919,127.0625,126.96875,-0.09375,-0.0007378258730939498,0.0006600884468910438,2631,2100,-531,0.5065282018378159378185317929,127.09299290120506,118.44167456135447,0,0,
