N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,,,0,0,
1,09:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,,,0,0,
2,09:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,,,0,0,
3,10:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,,,0,0,
4,10:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,69.92128,,0,0,
5,10:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,76.73702399999999,,0,0,
6,10:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,82.1896192,,0,0,
7,10:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,86.55169536,,0,0,
8,10:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,90.04135628799999,,0,0,
9,11:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,92.83308503039999,,0,0,
10,11:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,95.06646802431999,,0,0,
11,11:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,96.85317441945598,,0,0,
12,11:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,98.28253953556478,,0,0,
13,11:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,99.42603162845182,,0,0,
14,11:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,100.34082530276146,,0,0,
15,12:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,101.07266024220917,,0,0,
16,12:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,101.65812819376733,,0,0,
17,12:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,102.12650255501386,,0,0,
18,12:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,102.50120204401108,,0,0,
19,12:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,102.80096163520886,66.71746406951162,0,0,
20,12:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.04076930816709,68.58159086603604,0,0,
21,13:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.23261544653367,70.35251132273424,0,0,
22,13:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.38609235722693,72.03488575659753,0,0,
23,13:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.50887388578154,73.63314146876766,0,0,
24,13:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.60709910862523,75.15148439532928,0,0,
25,13:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.68567928690018,76.59391017556281,0,0,
26,13:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.74854342952014,77.96421466678467,0,0,
27,14:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.79883474361611,79.26600393344545,0,0,
28,14:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.83906779489288,80.50270373677317,0,0,
29,14:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.87125423591431,81.67756854993452,0,0,
30,14:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.89700338873145,82.7936901224378,0,0,
31,14:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.91760271098515,83.8540056163159,0,0,
32,14:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.93408216878812,84.8613053355001,0,0,
33,15:00:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.9472657350305,85.8182400687251,0,0,
34,15:10:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.9578125880244,86.72732806528884,0,0,
35,15:20:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.96625007041952,87.59096166202441,0,0,
36,15:30:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.97300005633561,88.41141357892319,0,0,
37,15:40:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.97840004506848,89.19084289997703,0,0,
38,15:50:00,20220901,570640399,104,104,0,0,0,0,0,0,0,103.98272003605479,89.93130075497818,0,0,
39,09:30:00,20220908,570640399,104,104.3125,0.3125,0.0030048076923076925,7.512019230769231E-05,0,0,0,0,104.04867602884383,90.65036071722928,0,0,
