N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20220901,181764593,648.04,647.68,-0.36000000000001364,-0.0005555212641195199,0.0005555212641195199,9285,9285,0,0,,,0,0,
1,09:40:00,20220901,181764593,647.68,647.57,-0.10999999999989996,-0.00016983695652158468,0.00036267911032055226,9285,2978,-6307,0.3396338179859989229940764674,,,0,0,
2,09:50:00,20220901,181764593,647.57,649.52,1.9499999999999318,0.0030112574702347724,0.0012455385636252923,2978,3912,934,0.3309669823063140346264516946,,,0,0,
3,10:00:00,20220901,181764593,649.52,649.07,-0.4499999999999318,-0.0006928193127231368,0.0011073587508997535,3912,4226,314,0.2682916988974246875240310000,,,0,0,
4,10:10:00,20220901,181764593,649.07,646.39,-2.6800000000000637,-0.0041289845471213634,0.0017116839101440754,4226,1100,-3126,0.3625746747828711272080558459,435.63687360000006,,0,0,
5,10:20:00,20220901,181764593,646.39,648.77,2.3799999999999955,0.003681987654511975,0.0020400678675387253,1100,4476,3376,0.8136607138342107878248950231,478.26349888000004,,0,1,
6,10:30:00,20220901,181764593,648.77,647.61,-1.1599999999999682,-0.0017879988285524426,0.0020040580048263992,4476,2700,-1776,0.7541067321183315753167809505,512.132799104,,0,0,
7,10:40:00,20220901,181764593,647.61,644.33,-3.2799999999999727,-0.0050647766402618435,0.0023866478342558298,2700,5805,3105,0.8035933906035401284021833317,538.5722392832,,0,1,
8,10:50:00,20220901,181764593,644.33,642.47,-1.8600000000000136,-0.0028867195381248947,0.002442211356907948,5805,3017,-2788,0.7676691943655546667240385477,559.35179142656,,0,0,
9,11:00:00,20220901,181764593,642.47,644.18,1.7099999999999227,0.0026616028763987777,0.002464150508857031,3017,2200,-817,0.7179821556051675792362551769,576.317433141248,,0,0,
