conId, time, date, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
570640394,11:50:00,20221230,107.7421875,108.0234375,0.28125,0.0026103980857080703,0.00021871627463619452,26988,129433,102445,0.5779878649325317128544590658,107.79254519428545,107.75390876636571,1,1,BUY
570640394,09:30:00,20230106,108.09375,108.828125,0.734375,0.006793871061000289,0.0002669531257209573,3875,41383,37508,0.6266435363310931177506656850,108.25563275834755,108.1841035703729,1,1,BUY
570640394,09:30:00,20230110,109.1796875,108.96875,-0.2109375,-0.0019320214669051878,0.000258648257429736,7593,15511,7918,0.5831447993018859467891955184,109.16674608917867,109.18494426658368,-1,1,SELL
99831145,11:30:00,20230110,220.61,220.03,-0.5800000000000125,-0.0026290739313721613,0.002067286671374231,7751,14772,7021,0.5774180693838258078507057202,220.77897965516155,220.82382039416294,-1,1,SELL
181764593,13:20:00,20230103,655.23,660.98,5.75,0.00877554446530226,0.0019407884879638377,200,3369,3169,1.0010446790590569263801440602,657.6395765365546,657.4552711774651,1,1,BUY
181764593,11:00:00,20230106,669.49,668.89,-0.6000000000000227,-0.0008962045736307081,0.002261867164458536,1600,3828,2228,0.9188061587813145069833525311,664.935941312488,664.5171798468982,1,1,BUY
570640399,09:30:00,20230105,102.6640625,102.4296875,-0.234375,-0.0022829312837683584,0.0001010855483360301,1681,4496,2815,0.7793701524187048859400258769,102.61011549562107,102.62426874323286,-1,1,SELL
570640399,09:30:00,20230106,102.4609375,102.78515625,0.32421875,0.0031643156690812045,0.00011104639757260344,633,19867,19234,0.8576423266669102047363018552,102.52722301158454,102.50539561540056,1,1,BUY
551601510,09:40:00,20230106,332.5,333.4,0.8999999999999773,0.002706766917293165,0.0012746769208032643,10,111,101,3.9098728428941330769077358700,329.69281126817253,329.60969467044066,1,1,BUY
296574745,09:30:00,20230106,73.72,74.58,0.8599999999999994,0.011665762344004333,0.0022518679640805583,390,4476,4086,0.6085719253959203512034674661,73.95031878905186,73.93353408732771,1,1,BUY
296574745,09:30:00,20230109,73.68,75.64,1.9599999999999937,0.026601520086862018,0.0023141300775881427,652,5083,4431,0.5971895254053236832700162565,74.1170414478976,74.11276295079628,1,1,BUY
296574745,09:30:00,20230110,74.8,75.27,0.46999999999999886,0.006283422459893033,0.0022912612213572565,566,4319,3753,0.5914130449272601830392805305,74.87384720398195,74.8396210353161,1,1,BUY
568735919,09:30:00,20230103,124.75,126.40625,1.65625,0.013276553106212424,0.0006775506410371189,914,7348,6434,0.7969225371156459256912514542,125.062500866344,124.90021016079332,1,1,BUY
568735919,09:30:00,20230110,129.625,128.4375,-1.1875,-0.009161041465766635,0.000769167526446638,2015,6616,4601,0.6047167592902796520287743581,129.47957999178723,129.59055816570265,-1,1,SELL
187296614,12:50:00,20230110,6.21,6.23,0.020000000000000462,0.0032206119162641648,0.0030997960639890547,6131,13739,7608,0.7311111488457866685898322188,6.197684939712653,6.194756829126805,1,1,BUY
88819288,15:20:00,20230103,112.63,112.85,0.21999999999999886,0.001953298410725374,0.0020565015534903253,21001,52722,31721,0.4727167058677484314979531151,112.22554687655773,112.21404593297167,1,1,BUY
88819288,15:50:00,20230110,115.38,116.05,0.6700000000000017,0.005806898942624387,0.0020729591906299746,27527,251035,223508,0.5711721840426034907390795102,115.38796998287114,115.33665457419681,1,1,BUY
99831145,15:30:00,20221201,220.15,220,-0.15000000000000568,-0.0006813536225301189,0.0018824536815871325,34923,69654,34731,0.6068616243041250407344367585,220.56662420887486,220.60689299579641,-1,1,SELL
99831145,09:50:00,20221212,214.46,213.87,-0.5900000000000034,-0.0027510957754359943,0.0018889877496017777,17513,37865,20352,0.5899837854383049932527286081,214.58785027762332,214.67334654039976,-1,1,SELL
99831145,09:50:00,20221227,209.56,209.67,0.10999999999998522,0.0005249093338422658,0.002067375250993933,8194,17249,9055,0.5609752483906578123550237315,210.93422162335438,211.13790364979744,-1,1,SELL
99831145,14:40:00,20221228,211.78,212.2,0.4199999999999875,0.001983190102936951,0.0020527849412801005,13328,26017,12689,0.5550815116003183426042288884,211.8486605146094,211.8256280180841,1,1,BUY
99831145,11:30:00,20230110,220.61,220.03,-0.5800000000000125,-0.0026290739313721613,0.002066333886414064,7751,14772,7021,0.5663217063243884311763008792,220.77897965516155,220.82382204009306,-1,1,SELL
533620653,14:50:00,20221222,181.05,181.85,0.799999999999983,0.00441866887600101,0.0010240266430727185,8,23,15,0.4161706792025940962111174874,180.64856588253252,180.6193738451869,1,1,BUY
533620653,09:40:00,20221229,183.85,183.9,0.05000000000001137,0.00027196083763944177,0.0009446085042612934,1,3,2,0.3700855181922700170875353350,181.753068641142,181.7165958371328,1,1,BUY
570640399,09:30:00,20221213,102.6953125,103.078125,0.3828125,0.0037276531000380374,0.0001162940060982095,1188,17488,16300,0.6674068351204332837454047499,102.76229641152253,102.70767726051022,1,1,BUY
570640399,09:30:00,20221219,103.078125,102.984375,-0.09375,-0.0009095043201455207,0.00012182246886672037,1032,3480,2448,0.7312678329536095618824729565,103.05589701688761,103.05610391380952,-1,1,SELL
570640399,14:40:00,20221220,102.921875,102.9296875,0.0078125,7.590708972218005E-05,0.00011518704053625841,1762,6134,4372,0.7173184823390729191988871364,102.91529180399621,102.91322622965428,1,1,BUY
